Expected Points For Each Team Taking the Team With the Highest Expected Points Each Round, Eliminating All Others That Cannot Continue
+-----------------------+-------------+----------+---------+---------+--------------+--------+---------+
|          Team         | Round of 32 | Sweet 16 | Elite 8 | Final 4 | Championship | Winner |  Total  |
|    Grambling State    |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|        Gonzaga        |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|          Duke         |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|         Dayton        |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|     Colorado State    |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|        Colorado       |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|        Colgate        |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|        Clemson        |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|  Cal State-Long Beach |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|      Boise State      |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|          BYU          |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|        Alabama        |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|         Akron         |    0.000    |  0.000   |  0.000  |  0.000  |    0.000     | 0.000  |  0.000  |
|         Total         |   192.563   | 122.677  |  82.219 |  63.844 |    46.793    | 30.001 | 538.095 |
+-----------------------+-------------+----------+---------+---------+--------------+--------+---------+
