GameDay,GameID,TeamID,Team,OpponentID,Opponent,Location,Division,Conference,Playoffs,WinOrLoss,PlayerType,MIN,PTS,FGM,FGA,3FM,3FA,FTM,FTA,REB,AST,STL,BLK,OREB,TO,PF
11/4/2024,1261117,556,Longwood,4000,ND1,H,,,,W,,195,79,24,55,2,14,29,40,0,10,5,1,7,11,0
11/4/2024,1261156,302,Nevada,251,Sam Houston,H,,,,W,,194,91,30,53,10,22,21,31,0,17,9,5,10,12,0
11/4/2024,1261156,251,Sam Houston,302,Nevada,V,,,,L,,195,75,24,57,10,25,17,21,0,15,4,3,8,11,0
11/4/2024,1261183,421,Wright State,332,Kentucky,V,,,,L,,194,62,24,68,5,27,9,12,0,8,4,1,10,12,0
11/4/2024,1261183,332,Kentucky,421,Wright State,H,,,,W,,194,103,39,65,11,24,14,19,0,30,11,4,7,7,0
11/4/2024,1261252,389,Long Beach State,4000,ND1,H,,,,W,,194,93,37,69,6,19,13,23,0,15,13,6,23,16,0
11/4/2024,1261362,559,South Dakota State,510,McNeese State,N,,,,W,,195,80,28,61,12,35,12,16,0,15,5,4,12,16,0
11/4/2024,1261362,510,McNeese State,559,South Dakota State,N,,,,L,,196,73,23,59,7,26,20,27,0,10,13,2,8,11,0
11/4/2024,1261379,483,Louisville,511,Morehead State,H,,,,W,,192,93,32,71,11,36,18,28,0,21,12,6,14,5,0
11/4/2024,1261379,511,Morehead State,483,Louisville,V,,,,L,,196,45,12,52,3,21,18,27,0,4,1,3,12,20,0
11/4/2024,1261506,385,Miami (Ohio),345,Appalachian State,V,,,,W,,194,77,27,59,11,25,12,13,0,9,13,4,4,14,0
11/4/2024,1261506,345,Appalachian State,385,Miami (Ohio),H,,,,L,,196,63,21,53,9,32,12,21,0,11,8,5,10,18,0
11/4/2024,1261543,358,Princeton,337,Iona,H,,,,W,,194,81,31,56,8,26,11,22,0,14,6,2,8,9,0
11/4/2024,1261543,337,Iona,358,Princeton,V,,,,L,,196,80,30,56,6,13,14,22,0,14,7,0,10,16,0
11/4/2024,1261610,581,Abilene Christian,4000,ND1,H,,,,W,,191,107,42,73,3,13,20,33,0,16,9,4,24,32,0
11/4/2024,1261610,0,ND1,581,Abilene Christian,V,,,,L,,194,74,24,80,7,41,19,25,17,8,20,0,9,14,0
11/4/2024,1261666,314,UC Irvine,4000,ND1,H,,,,W,,192,82,27,57,4,13,24,33,0,17,13,4,8,10,0
11/4/2024,1261743,354,Butler,279,Missouri State,H,,,,W,,195,72,21,47,9,20,21,28,0,12,6,6,9,18,0
11/4/2024,1261743,279,Missouri State,354,Butler,V,,,,L,,196,65,25,67,9,28,6,10,0,13,13,2,12,12,0
11/4/2024,1261810,246,Brown,228,Siena,V,,,,L,,219,71,28,64,7,22,8,13,0,8,6,9,15,16,0
11/4/2024,1261810,228,Siena,246,Brown,H,,,,W,,219,72,24,66,5,20,19,28,0,7,10,4,15,12,0
11/4/2024,1261828,501,Temple,542,Sacred Heart,H,,,,W,,195,81,27,55,11,23,16,23,0,14,10,5,6,16,0
11/4/2024,1261828,542,Sacred Heart,501,Temple,V,,,,L,,197,70,29,68,5,21,7,11,0,11,10,3,11,16,0
11/4/2024,1261851,266,Louisiana-Lafayette,232,Kent State,H,,,,L,,194,66,22,49,9,20,13,21,0,14,7,3,4,10,0
11/4/2024,1261851,232,Kent State,266,Louisiana-Lafayette,V,,,,W,,195,70,21,50,6,24,22,28,0,9,3,3,11,15,0
11/4/2024,1261904,502,UTEP,4000,ND1,H,,,,W,,194,102,35,62,14,27,18,26,0,23,19,6,6,8,0
11/4/2024,1262039,365,Fordham,305,Saint John`s,V,,,,L,,193,60,20,55,8,23,12,20,0,9,5,1,8,19,0
11/4/2024,1262039,305,Saint John`s,365,Fordham,H,,,,W,,193,92,36,66,9,26,11,15,0,19,11,4,7,11,0
11/4/2024,1262065,372,Harvard,374,Marist,H,,,,W,,194,79,30,48,7,17,12,16,0,12,6,3,5,12,0
11/4/2024,1262065,374,Marist,372,Harvard,V,,,,L,,195,66,26,63,8,20,6,10,0,10,10,1,8,8,0
11/4/2024,1262141,506,East Carolina,4000,ND1,H,,,,W,,193,97,33,63,10,20,21,32,0,17,5,5,18,15,0
11/4/2024,1262200,274,Liberty,243,Valparaiso,N,,,,W,,193,83,32,59,10,24,9,13,0,15,6,5,4,5,0
11/4/2024,1262200,243,Valparaiso,274,Liberty,N,,,,L,,195,63,22,63,2,15,17,21,0,7,1,2,8,8,0
11/4/2024,1262227,0,ND1,292,Niagara,V,,,,L,,192,65,23,61,6,22,13,24,29,12,9,2,9,20,0
11/4/2024,1262227,292,Niagara,4000,ND1,H,,,,W,,194,100,35,61,12,27,18,25,0,22,10,3,9,12,0
11/4/2024,1262267,536,Denver,307,Stanford,V,,,,L,,192,62,22,48,3,17,15,23,0,6,4,2,7,20,0
11/4/2024,1262267,307,Stanford,536,Denver,H,,,,W,,194,85,32,65,7,23,14,18,0,20,13,6,13,10,0
11/4/2024,1262352,547,Binghamton,394,Penn State,V,,,,L,,193,66,24,56,7,19,11,15,0,14,2,1,8,21,0
11/4/2024,1262352,394,Penn State,547,Binghamton,H,,,,W,,196,108,35,69,13,31,25,32,0,17,16,7,14,5,0
11/4/2024,1262408,578,Northern Kentucky,442,Florida State,V,,,,L,,195,62,19,49,7,28,17,23,0,14,7,1,4,22,0
11/4/2024,1262408,442,Florida State,578,Northern Kentucky,H,,,,W,,195,74,28,63,4,22,14,18,0,14,14,6,6,12,0
11/4/2024,1262422,443,South Alabama,455,Central Michigan,H,,,,L,,194,70,25,53,9,28,11,16,0,15,5,1,5,15,0
